,segment_id
12512,864691132846857683
12517,864691132731752731
12530,864691132664017752
12532,864691132824896688
12537,864691132831946350
12538,864691132902011898
12548,864691132657942953
12571,864691132779247307
12592,864691132797045269
12598,864691132782633198
12623,864691132621695170
12629,864691132555066121
12630,864691132596077879
12631,864691132785047498
12633,864691132695016283
12651,864691132653234135
12665,864691132894655462
12672,864691132854824774
12675,864691132743902031
12678,864691132768360972
12680,864691132762886847
12688,864691132760381534
12704,864691132545992258
12706,864691132928974312
12719,864691132808110473
12727,864691132657930665
12751,864691133235577424
12753,864691132561564644
12767,864691132680785352
12780,864691132919524577
12790,864691132824982192
12795,864691132737339833
12796,864691132657895081
12802,864691132788104671
12806,864691132664079448
12809,864691132653859696
12813,864691132751864039
12815,864691132608465848
12833,864691132576868365
12835,864691132730996275
12836,864691132765482431
