,segment_id
476,864691132569782812
477,864691132569787164
478,864691132569787420
479,864691132569819420
480,864691132569822492
481,864691132569822748
482,864691132569828892
483,864691132569830172
484,864691132569830940
485,864691132569831964
486,864691132569832476
487,864691132569834524
488,864691132569837340
489,864691132569839644
490,864691132569873237
491,864691132570063414
492,864691132570104630
493,864691132570436636
494,864691132570556188
495,864691132571084316
496,864691132571163221
497,864691132571511068
498,864691132571654428
499,864691132571680570
500,864691132571681082
501,864691132571682362
502,864691132571684666
503,864691132571685178
504,864691132571686714
505,864691132571692090
506,864691132571695930
507,864691132571702300
508,864691132571706682
509,864691132571707194
510,864691132571708986
511,864691132571712058
512,864691132571713594
513,864691132571718458
514,864691132571718970
515,864691132571722298
516,864691132571846970
517,864691132571847994
518,864691132571893818
519,864691132571894330
520,864691132571990396
521,864691132572278300
522,864691132572315164
523,864691132572500252
524,864691132572708124
525,864691132572773916
526,864691132572891676
527,864691132573047354
528,864691132573126458
529,864691132573271866
530,864691132573713978
531,864691132573882170
532,864691132573891386
533,864691132573962810
534,864691132574126906
535,864691132574195285
536,864691132574306428
537,864691132574343226
538,864691132574381370
539,864691132574773818
540,864691132574950202
541,864691132574987066
542,864691132575009590
543,864691132575297594
544,864691132575359802
545,864691132575389716
546,864691132575394068
547,864691132575399956
548,864691132575405332
549,864691132575408916
550,864691132575410196
551,864691132575415060
552,864691132575415828
553,864691132575416084
554,864691132575416596
555,864691132575420436
556,864691132575420692
557,864691132575424788
558,864691132575425812
559,864691132575436820
560,864691132575437332
561,864691132575440148
562,864691132575446036
563,864691132575450132
564,864691132575592212
565,864691132575593492
566,864691132575596820
567,864691132575599124
568,864691132575599380
569,864691132575604756
570,864691132575607316
571,864691132575650068
572,864691132575651604
573,864691132575656980
574,864691132575658004
575,864691132576055572
576,864691132576095764
577,864691132576456468
578,864691132576761620
579,864691132576783885
580,864691132576787981
581,864691132576792333
582,864691132576796173
583,864691132576801549
584,864691132576802829
585,864691132576804109
586,864691132576805645
587,864691132576807437
588,864691132576809741
589,864691132576813837
590,864691132576817165
591,864691132576819981
592,864691132576823309
593,864691132576825613
594,864691132576827405
595,864691132576827661
596,864691132576828429
597,864691132576828685
598,864691132576829197
599,864691132576839693
600,864691132576839949
601,864691132576843533
602,864691132576846093
603,864691132576854285
604,864691132576858125
605,864691132576860429
606,864691132576861453
607,864691132576862221
608,864691132576862989
609,864691132576869133
610,864691132576869901
611,864691132576872973
612,864691132576876301
613,864691132576892941
614,864691132576896013
615,864691132576903693
616,864691132576962870
617,864691132577043725
618,864691132577045005
619,864691132577050893
620,864691132577051149
621,864691132577056781
622,864691132577098765
623,864691132577100813
624,864691132577103117
625,864691132577108749
626,864691132577110029
627,864691132577110541
628,864691132577111309
629,864691132577112077
630,864691132577220628
631,864691132577358794
632,864691132577678612
633,864691132577691156
634,864691132577775117
635,864691132577830164
636,864691132577978900
637,864691132578107902
638,864691132578160148
639,864691132578358326
640,864691132578382356
641,864691132578439188
642,864691132578549268
643,864691132578686477
644,864691132578686740
645,864691132578738708
646,864691132578980114
647,864691132578984722
648,864691132578986002
649,864691132578986770
650,864691132578989074
651,864691132578992914
652,864691132578993426
653,864691132578995730
654,864691132578996498
655,864691132578998290
656,864691132578998802
657,864691132579004690
658,864691132579004946
659,864691132579005458
660,864691132579009042
661,864691132579009554
662,864691132579015698
663,864691132579016210
664,864691132579022093
665,864691132579023378
666,864691132579034386
667,864691132579037202
668,864691132579041298
669,864691132579043090
670,864691132579043602
671,864691132579045652
672,864691132579181842
673,864691132579182610
674,864691132579184914
675,864691132579185170
676,864691132579186450
677,864691132579187986
678,864691132579188498
679,864691132579189778
680,864691132579190802
681,864691132579192338
682,864691132579193874
683,864691132579196178
684,864691132579203090
685,864691132579210514
686,864691132579215378
687,864691132579215890
688,864691132579216914
689,864691132579253778
690,864691132579254546
691,864691132579254802
692,864691132579259410
693,864691132579287058
694,864691132579316749
695,864691132579365389
696,864691132579545357
697,864691132579628301
698,864691132579977229
699,864691132579990029
700,864691132580139533
701,864691132580151053
702,864691132580195085
703,864691132580233229
704,864691132580550925
705,864691132580558349
706,864691132580876050
707,864691132581091858
708,864691132581686802
709,864691132581710866
710,864691132581733650
711,864691132581790226
712,864691132581804562
713,864691132581894782
714,864691132581922322
715,864691132582037010
716,864691132582053138
717,864691132582092306
718,864691132582106678
719,864691132582244150
720,864691132582550034
721,864691132582576914
722,864691132582619154
723,864691132582688530
724,864691132582702098
725,864691132582732818
726,864691132583468514
727,864691132583540706
728,864691132583540962
729,864691132583545314
730,864691132583546338
731,864691132583548386
732,864691132583551202
733,864691132583558114
734,864691132583561442
735,864691132583562210
736,864691132583562978
737,864691132583565282
738,864691132583565794
